I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.045,0.019,0.065,,,,,,,,,
-0.044,0.02,0.064,,,,,,,,,
-0.045,0.019,0.065,,,,,,,,,
-0.045,0.02,0.065,,,,,,,,,
-0.041,0.019,0.061,,,,,,,,,
-0.038,0.02,0.059,,,,,,,,,
-0.04,0.019,0.059,,,,,,,,,
-0.044,0.015,0.06,,,,,,,,,
-0.044,0.015,0.059,,,,,,,,,
-0.045,0.014,0.06,,,,,,,,,
-0.044,0.015,0.059,,,,,,,,,
-0.045,0.014,0.06,,,,,,,,,
-0.045,0.014,0.059,,,,,,,,,
-0.048,0.011,0.06,,,,,,,,,
-0.05,0.008,0.059,,,,,,,,,
-0.05,0.009,0.059,,,,,,,,,
-0.049,0.01,0.06,,,,,,,,,
-0.05,0.009,0.06,,,,,,,,,
-0.047,0.01,0.057,,,,,,,,,
-0.044,0.009,0.054,,,,,,,,,
-0.045,0.009,0.054,,,,,,,,,
-0.049,0.005,0.055,,,,,,,,,
-0.051,0.004,0.055,,,,,,,,,
-0.047,0.005,0.052,,,,,,,,,
-0.045,0.004,0.049,,,,,,,,,
-0.044,0.005,0.049,,,,,,,,,
-0.045,0.004,0.05,,,,,,,,,
-0.045,0.005,0.05,,,,,,,,,
-0.043,0.004,0.048,,,,,,,,,
-0.039,0.005,0.044,,,,,,,,,
-0.039,0.004,0.044,,,,,,,,,
-0.04,0.005,0.045,,,,,,,,,
-0.039,0.004,0.044,,,,,,,,,
-0.04,0.005,0.045,,,,,,,,,
-0.04,0.004,0.045,,,,,,,,,
-0.035,0.005,0.04,,,,,,,,,
-0.035,0.004,0.04,,,,,,,,,
-0.034,0.005,0.039,,,,,,,,,
-0.035,0.004,0.04,,,,,,,,,
-0.035,0.005,0.04,,,,,,,,,
-0.031,0.004,0.036,,,,,,,,,
-0.029,0.005,0.034,,,,,,,,,
-0.03,0.004,0.035,,,,,,,,,
-0.029,0.005,0.034,,,,,,,,,
-0.03,0.004,0.035,,,,,,,,,
-0.028,0.005,0.033,,,,,,,,,
-0.033,0.004,0.038,,,,,,,,,
-0.041,0.005,0.046,,,,,,,,,
-0.044,0.004,0.049,,,,,,,,,
-0.048,0.005,0.053,,,,,,,,,
-0.05,0.004,0.055,,,,,,,,,
